mean_rand_info_gains,mean_rand_action_costs,cache_dir,reward_estimator_dir,rnn_dir,per_patient_path
-0.02240172017323708,66.2920255635181,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf0.900000_per_patient_summary.csv
-0.022808543307086423,39.818224548346244,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf0.940000_per_patient_summary.csv
-0.022996373434375588,26.54522419566894,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf0.960000_per_patient_summary.csv
-0.02186452118465588,99.3600613001972,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf0.850000_per_patient_summary.csv
-0.02290668662394712,33.170902195702055,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf0.950000_per_patient_summary.csv
-0.023188886566124292,13.266847849758195,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf0.980000_per_patient_summary.csv
-0.022606925157646066,53.05734761539047,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf0.920000_per_patient_summary.csv
-0.02336314056542282,0.0,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand0_tpf1.000000_per_patient_summary.csv
-0.022853749861765277,39.787219893521424,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand1_tpf0.940000_per_patient_summary.csv
-0.022431927332180236,66.39076804480595,../RL_exp_cache/0117-30mins-24hrs-20order-rnn-neg_sampled,../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1,../models/0117-24hours_39feats_38cov_negsampled_rnn-mimic-nh128-nl2-c1e-07-keeprate0.9_0.7_0.5-npred24-miss1-n_mc_1-MIMIC_window-mingjie_39features_38covs-ManyToOneRNN/,estimation/2_0122_random_policy_/rand1_tpf0.900000_per_patient_summary.csv
